index,NumRenc,NumEq1,NumEq2,Phase,Journee,DateRenc,HeureRenc,JA
87,93,100,152,2,14,08/05/2022,9:30:00,181549
88,94,104,101,2,8,23/01/2022,9:30:00,18811
89,95,109,156,2,9,06/02/2022,9:30:00,18811
90,96,101,157,2,9,06/02/2022,9:30:00,187204
91,97,104,158,2,10,06/03/2022,9:30:00,187204
92,98,101,159,2,10,06/03/2022,9:30:00,194260
93,99,109,104,2,11,13/03/2022,9:30:00,18811
94,100,104,157,2,12,27/03/2022,9:30:00,9115229
95,101,101,158,2,12,27/03/2022,9:30:00,182060
96,102,109,158,2,13,10/04/2022,9:30:00,188900
97,103,104,155,2,14,08/05/2022,9:30:00,1890
98,104,101,109,2,14,08/05/2022,9:30:00,181549
99,105,110,162,2,8,23/01/2022,9:30:00,181549
100,106,107,111,2,8,23/01/2022,9:30:00,182849
101,107,111,110,2,9,06/02/2022,9:30:00,181136
102,108,110,107,2,10,06/03/2022,9:30:00,186800
103,109,107,161,2,11,13/03/2022,9:30:00,1890
104,110,110,164,2,11,13/03/2022,9:30:00,187204
105,111,110,160,2,13,10/04/2022,9:30:00,194260
106,112,107,163,2,13,10/04/2022,9:30:00,181291
107,113,111,162,2,13,10/04/2022,9:30:00,2719192
108,114,111,160,2,11,13/03/2022,9:30:00,188900
